feature,importance
numeric__PPV(mm/s),0.6824731544116381
numeric__Burden(m),0.026515646355947643
numeric__Wind_Speed(m/s),0.025537708771690683
numeric__Temperature(°C),0.024799203268078277
numeric__Seismometer(m/s²),0.023400403116538467
numeric__Acc_Y(m/s²),0.022359041914038768
numeric__Charge_Weight(kg),0.022310532838807722
numeric__Geophone(mm/s),0.022100663583887573
numeric__PSD_Value,0.022098390331651868
numeric__Delay(ms),0.02175637543635134
numeric__Spacing(m),0.021480777226582905
numeric__Acc_Z(m/s²),0.021474141080221523
numeric__Frequency(Hz),0.02115093464396049
numeric__Acc_X(m/s²),0.020013590848305868
numeric__hour,0.014371060149048572
categorical__Soil_Type_Hard,0.0031402471035109226
categorical__Soil_Type_Medium,0.0026647075923437644
categorical__Soil_Type_Soft,0.0023534213273955036
numeric__dayofweek,0.0
numeric__month,0.0
